Termos : frequencia
im: 6
tired: 6
of: 6
being: 3
what: 4
you: 18
want: 6
me: 9
to: 9
be: 10
feeling: 1
so: 12
faithless: 1
lost: 1
under: 2
the: 6
surface: 1
dont: 1
know: 3
youre: 2
expecting: 1
put: 1
pressure: 1
walking: 1
in: 7
your: 1
shoes: 1
every: 3
step: 2
that: 4
i: 16
take: 3
is: 6
another: 2
mistake: 2
caught: 4
undertow: 4
just: 3
ive: 5
become: 8
numb: 5
cant: 6
feel: 5
there: 5
much: 3
more: 7
aware: 3
becoming: 3
this: 3
all: 3
do: 3
like: 7
and: 5
less: 3
see: 1
smothering: 1
holding: 1
too: 2
tightly: 1
afraid: 1
lose: 1
control?: 1
cause: 1
everything: 1
thought: 1
would: 1
has: 1
fallen: 1
apart: 1
right: 1
front: 1
second: 1
waste: 1
than: 1
can: 1
may: 1
end: 1
up: 1
failing: 1
but: 1
were: 1
with: 1
someone: 1
disappointed: 1
